"","k","ES"
"1",3,0.672201927225658
"2",4,0.668454652999415
"3",5,0.652027703604806
"4",6,0.663905237120437
"5",7,0.663265174719685
"6",8,0.655754940711462
"7",9,0.66172288471364
"8",10,0.67763021373729
"9",11,0.678893772226774
"10",12,0.678872929576264
"11",13,0.685885612345026
"12",14,0.678200993637235
"13",15,0.69130329803537
"14",16,0.68683924576542
"15",17,0.681528974132971
"16",18,0.674121892490333
"17",19,0.677253564064305
"18",20,0.670809967878283
"19",21,0.664795527506202
"20",22,0.658161368284068
"21",23,0.657629060061695
"22",24,0.65520996341059
"23",25,0.652741880905064
"24",26,0.656938064462201
"25",27,0.654372123220511
"26",28,0.652877889067386
"27",29,0.646744595786074
"28",30,0.646032163394982
"29",31,0.645152161953513
"30",32,0.647116087928372
"31",33,0.640193022352285
"32",34,0.639763241509298
"33",35,0.638653198494771
"34",36,0.63810520602917
"35",37,0.640321931961741
"36",38,0.639232558349325
"37",39,0.634443987572268
"38",40,0.632757411279777
"39",41,0.63399605142555
"40",42,0.630702154947641
"41",43,0.626319073159279
"42",44,0.623488536594674
"43",45,0.622486095249396
"44",46,0.622820915292318
"45",47,0.615119608036366
"46",48,0.615195886604219
"47",49,0.612913511068307
"48",50,0.610245485899777
"49",51,0.611099710355664
"50",52,0.607216814169482
"51",53,0.608302769211276
