"","khid","name","UniqueNAME","ensembl_gene_id","external_gene_name"
"1","KH2013:KH.C1.404","Eph","EPH","ENSCING00000002625",""
"2","KH2013:KH.C10.113","Ets","KH2013:KH.C10.113","ENSCING00000005739","ets/pointed2"
"3","KH2013:KH.C10.209","Daam","KH2013:KH.C10.209","ENSCING00000006310",""
"4","KH2013:KH.C11.355","Rabep","RABEP1",NA,NA
"5","KH2013:KH.C12.469","Tyrosinase","KH2013:KH.C12.469_TYR","ENSCING00000004277",""
"6","KH2013:KH.C14.432","Dync2h","DYNC2H1","ENSCING00000001762",""
"7","KH2013:KH.C2.651","Rho","ARHGAP6",NA,NA
"8","KH2013:KH.C3.170","Foxf","FOXF1/2","ENSCING00000009387","foxf"
"9","KH2013:KH.C3.451","NDE","NDE1","ENSCING00000004352",""
"10","KH2013:KH.C4.125","BMP2","KH2013:KH.C4.125_BMP2/4",NA,NA
"11","KH2013:KH.C6.162","Fzd","FZD4",NA,NA
"12","KH2013:KH.C7.324","Rock","ROCK1/2","ENSCING00000003143",""
"13","KH2013:KH.C8.248","Col9a1","COL9A1/2/3","ENSCING00000003213",""
"14","KH2013:KH.C8.441","Farp","FARP1/2","ENSCING00000005613",""
"15","KH2013:KH.C8.840","Arhgef8","ARHGEF3","ENSCING00000007425",""
"16","KH2013:KH.C9.371","Ddr","DDR/1/2","ENSCING00000006493",""
"17","KH2013:KH.C9.562","EPB4.1","EPB41L3","ENSCING00000003201",""
"18","KH2013:KH.L108.1","Paxillin","PXN","ENSCING00000005343",""
"19","KH2013:KH.L108.56","Depdc","DEPDC1A","ENSCING00000001224",""
"20","KH2013:KH.L121.2","GNA.L.S","GNAL","ENSCING00000005789",""
"21","KH2013:KH.L121.2","GNA.L.S","GNAL","ENSCING00000022191",""
"22","KH2013:KH.L20.1","Gata","GATA4/5/6","ENSCING00000004437",""
"23","KH2013:KH.L22.59","Rab5","RAB5C","ENSCING00000003340",""
"24","KH2013:KH.L37.10","Gna12.13","GNA12/13","ENSCING00000003111",""
"25","KH2013:KH.L37.33","ADF.Cofilin","CFL1/2",NA,NA
"26","KH2013:KH.S555.1","5HTR","KH2013:KH.S555.1_HTR7","ENSCING00000008611",""
"27","KH2013:KH.S742.2","Fgfr","FGFR1/2/3/4","ENSCING00000000875","fgfr"
